model,retrieval,chunk,top_k,recall@k,accuracy,f1,accuracy_given_hit,hit_and_wrong_ratio
smollm2:135m,BM25,T256_O64,1,0.181,0.136,0.1576387123268057,0.6022099447513812,0.072
smollm2:135m,VEC,T256_O64,1,0.455,0.311,0.3375932269422353,0.6307692307692307,0.168
smollm2:135m,BM25,T256_O64,2,0.22,0.159,0.17725910332188916,0.5863636363636363,0.091
smollm2:135m,VEC,T256_O64,2,0.564,0.328,0.34922756453007564,0.549645390070922,0.254
smollm2:135m,BM25,T256_O64,3,0.244,0.149,0.1693348319238607,0.5040983606557377,0.121
smollm2:135m,VEC,T256_O64,3,0.625,0.336,0.356788120229873,0.512,0.305
smollm2:135m,BM25,T512_O128,1,0.191,0.151,0.17673570275841677,0.6649214659685864,0.064
smollm2:135m,VEC,T512_O128,1,0.493,0.34,0.36131691639062247,0.6511156186612576,0.172
smollm2:135m,BM25,T512_O128,2,0.229,0.166,0.18812774214822992,0.5633187772925764,0.1
smollm2:135m,VEC,T512_O128,2,0.605,0.33,0.3513850153233542,0.5256198347107438,0.287
smollm2:135m,BM25,T512_O128,3,0.255,0.151,0.17351503919775785,0.4666666666666667,0.136
smollm2:135m,VEC,T512_O128,3,0.654,0.327,0.34903613093298064,0.4831804281345566,0.338
smollm2:135m,BM25,W100,1,0.166,0.132,0.1558906085048796,0.6626506024096386,0.056
smollm2:135m,VEC,W100,1,0.482,0.334,0.3605003059033733,0.6452282157676349,0.171
smollm2:135m,BM25,W100,2,0.206,0.148,0.1734056046335993,0.587378640776699,0.085
smollm2:135m,VEC,W100,2,0.591,0.338,0.3653449160062828,0.5431472081218274,0.27
smollm2:135m,BM25,W100,3,0.219,0.157,0.1760257037202939,0.5616438356164384,0.096
smollm2:135m,VEC,W100,3,0.648,0.323,0.348767870704556,0.4845679012345679,0.334
