Model,Retrieval,Chunk,Top_K,Recall@K,Avg_Retrieval_Time(s),Avg_Gen_Time(s),Total_Time(s)
qwen2.5:0.5b,VEC,T512_O128,3,0.654,0.0598,2.0666,2.1265
qwen2.5:0.5b,BM25,T512_O128,3,0.255,0.0846,0.9368,1.0215
qwen2.5:0.5b,VEC,T256_O64,3,0.625,0.0156,1.1439,1.1595
qwen2.5:0.5b,BM25,T256_O64,3,0.244,0.1566,0.8276,0.9843
qwen2.5:0.5b,VEC,T512_O128,2,0.605,0.0114,1.0532,1.0646
qwen2.5:0.5b,BM25,T512_O128,2,0.229,0.0873,1.0001,1.0874
qwen2.5:0.5b,VEC,W100,2,0.591,0.0190,1.0696,1.0887
qwen2.5:0.5b,BM25,T256_O64,2,0.22,0.1560,0.7691,0.9252
qwen2.5:0.5b,VEC,T256_O64,2,0.564,0.0161,1.2293,1.2454
qwen2.5:0.5b,BM25,W100,3,0.219,0.2030,0.8918,1.0948
