model,retrieval,chunk,top_k,recall@k,accuracy,f1,accuracy_given_hit,hit_and_wrong_ratio
smollm2:135m,BM25,T256_O64,1,0.181,0.136,0.1576387123268057,0.6022099447513812,0.072
smollm2:135m,VEC,T256_O64,1,0.455,0.311,0.3375932269422353,0.6307692307692307,0.168
smollm2:135m,BM25,T256_O64,2,0.22,0.159,0.17725910332188916,0.5863636363636363,0.091
smollm2:135m,VEC,T256_O64,2,0.564,0.328,0.34922756453007564,0.549645390070922,0.254
smollm2:135m,BM25,T256_O64,3,0.244,0.149,0.1693348319238607,0.5040983606557377,0.121
smollm2:135m,VEC,T256_O64,3,0.625,0.336,0.356788120229873,0.512,0.305
smollm2:135m,BM25,T512_O128,1,0.191,0.151,0.17673570275841677,0.6649214659685864,0.064
smollm2:135m,VEC,T512_O128,1,0.493,0.34,0.36131691639062247,0.6511156186612576,0.172
smollm2:135m,BM25,T512_O128,2,0.229,0.166,0.18812774214822992,0.5633187772925764,0.1
smollm2:135m,VEC,T512_O128,2,0.605,0.33,0.3513850153233542,0.5256198347107438,0.287
smollm2:135m,BM25,T512_O128,3,0.255,0.151,0.17351503919775785,0.4666666666666667,0.136
smollm2:135m,VEC,T512_O128,3,0.654,0.327,0.34903613093298064,0.4831804281345566,0.338
smollm2:135m,BM25,W100,1,0.166,0.132,0.1558906085048796,0.6626506024096386,0.056
smollm2:135m,VEC,W100,1,0.482,0.334,0.3605003059033733,0.6452282157676349,0.171
smollm2:135m,BM25,W100,2,0.206,0.148,0.1734056046335993,0.587378640776699,0.085
smollm2:135m,VEC,W100,2,0.591,0.338,0.3653449160062828,0.5431472081218274,0.27
smollm2:135m,BM25,W100,3,0.219,0.157,0.1760257037202939,0.5616438356164384,0.096
smollm2:135m,VEC,W100,3,0.648,0.323,0.348767870704556,0.4845679012345679,0.334
qwen2.5:0.5b,BM25,T256_O64,1,0.181,0.136,0.14737726685617517,0.6906077348066298,0.056
qwen2.5:0.5b,VEC,T256_O64,1,0.455,0.356,0.37572246872548865,0.7142857142857143,0.13
qwen2.5:0.5b,BM25,T256_O64,2,0.22,0.171,0.1843697169465303,0.7272727272727273,0.06
qwen2.5:0.5b,VEC,T256_O64,2,0.564,0.412,0.4345327250179288,0.6968085106382979,0.171
qwen2.5:0.5b,BM25,T256_O64,3,0.244,0.171,0.18659010558693076,0.6475409836065574,0.086
qwen2.5:0.5b,VEC,T256_O64,3,0.625,0.447,0.4650260874181694,0.696,0.19
qwen2.5:0.5b,BM25,T512_O128,1,0.191,0.151,0.16300303246082082,0.7486910994764397,0.048
qwen2.5:0.5b,VEC,T512_O128,1,0.493,0.391,0.4078656798303386,0.7403651115618661,0.128
qwen2.5:0.5b,BM25,T512_O128,2,0.229,0.172,0.1846256279185747,0.6986899563318777,0.069
qwen2.5:0.5b,VEC,T512_O128,2,0.605,0.452,0.46940899109160644,0.7305785123966942,0.163
qwen2.5:0.5b,BM25,T512_O128,3,0.255,0.177,0.19044887400169755,0.6470588235294118,0.09
qwen2.5:0.5b,VEC,T512_O128,3,0.654,0.464,0.48169847975979024,0.6972477064220184,0.198
qwen2.5:0.5b,BM25,W100,1,0.166,0.167,0.17915858590301348,0.8313253012048193,0.028
qwen2.5:0.5b,VEC,W100,1,0.482,0.427,0.4453324015794978,0.8174273858921162,0.088
qwen2.5:0.5b,BM25,W100,2,0.206,0.166,0.17683936421770444,0.7330097087378641,0.055
qwen2.5:0.5b,VEC,W100,2,0.591,0.466,0.48303087783929405,0.7495769881556683,0.148
qwen2.5:0.5b,BM25,W100,3,0.219,0.172,0.18457290249692176,0.730593607305936,0.059
qwen2.5:0.5b,VEC,W100,3,0.648,0.458,0.4775341823075605,0.6944444444444444,0.198
qwen2.5:7b,BM25,T256_O64,1,0.181,0.13,0.1355415223704907,0.7182320441988951,0.051
qwen2.5:7b,VEC,T256_O64,1,0.455,0.373,0.38335311311279313,0.810989010989011,0.086
qwen2.5:7b,BM25,T256_O64,2,0.22,0.164,0.17354301590873927,0.7318181818181818,0.059
qwen2.5:7b,VEC,T256_O64,2,0.564,0.439,0.45200016355028244,0.7695035460992907,0.13
qwen2.5:7b,BM25,T256_O64,3,0.244,0.17,0.18009065065080615,0.6885245901639344,0.076
qwen2.5:7b,VEC,T256_O64,3,0.625,0.465,0.47826558534781244,0.7424,0.161
qwen2.5:7b,BM25,T512_O128,1,0.191,0.143,0.14946627612887387,0.7329842931937173,0.051
qwen2.5:7b,VEC,T512_O128,1,0.493,0.401,0.4120578225502807,0.8073022312373225,0.095
qwen2.5:7b,BM25,T512_O128,2,0.229,0.165,0.17285177712412442,0.7205240174672489,0.064
qwen2.5:7b,VEC,T512_O128,2,0.605,0.462,0.4754336801851494,0.7619834710743801,0.144
qwen2.5:7b,BM25,T512_O128,3,0.255,0.168,0.17522352256259402,0.6588235294117647,0.087
qwen2.5:7b,VEC,T512_O128,3,0.654,0.474,0.48776466327367196,0.7232415902140673,0.181
qwen2.5:7b,BM25,W100,1,0.166,0.132,0.1373454972592477,0.7951807228915663,0.034
qwen2.5:7b,VEC,W100,1,0.482,0.396,0.40637937740990787,0.8049792531120332,0.094
qwen2.5:7b,BM25,W100,2,0.206,0.156,0.16398006325464864,0.7475728155339806,0.052
qwen2.5:7b,VEC,W100,2,0.591,0.46,0.47125085673674955,0.7681895093062606,0.137
qwen2.5:7b,BM25,W100,3,0.219,0.166,0.1743370001084379,0.7351598173515982,0.058
qwen2.5:7b,VEC,W100,3,0.648,0.492,0.5057836381744054,0.7515432098765432,0.161
