model,retrieval,chunk,top_k,recall@k,accuracy,f1,accuracy_given_hit,hit_and_wrong_ratio,,,,,,,,,,,,,,,,,,,,,,
smollm2:135m,VEC,T512_O128,3,0.654,0.327,0.349036131,0.483180428,0.338,,,,model,retrieval,chunk,top_k,recall@k,accuracy,f1,accuracy_given_hit,hit_and_wrong_ratio,,,,,,,,,,
qwen2.5:7b,VEC,T512_O128,3,0.654,0.474,0.487764663,0.72324159,0.181,,,,qwen2.5:7b,VEC,W100,3,0.648,0.492,0.505,0.751,0.161,,,,,,,,,,
qwen2.5:0.5b,VEC,T512_O128,3,0.654,0.464,0.48169848,0.697247706,0.198,,,,qwen2.5:0.5b,VEC,W100,3,0.654,0.464,0.481,0.697,0.198,,,,,,,,,,
smollm2:135m,VEC,W100,3,0.648,0.323,0.348767871,0.484567901,0.334,,,,,,,,,,,,,,,,,,,,,,
qwen2.5:7b,VEC,W100,3,0.648,0.492,0.505783638,0.75154321,0.161,,,,,,,,,,,,,,,,,,,,,,
qwen2.5:0.5b,VEC,W100,3,0.648,0.458,0.477534182,0.694444444,0.198,,,,,,,,,,,,,,,,,,,,,,
smollm2:135m,VEC,T256_O64,3,0.625,0.336,0.35678812,0.512,0.305,,,,,,,,,,,,,,,,,,,,,,
qwen2.5:7b,VEC,T256_O64,3,0.625,0.465,0.478265585,0.7424,0.161,,,,,,,,,,,,,,,,,,,,,,
qwen2.5:0.5b,VEC,T256_O64,3,0.625,0.447,0.465026087,0.696,0.19,,,,retrieval,chunk,top_k,recall@k,inferencetime,retrieval,chunk,top_k,recall@k,inferencetime,,,,,,,,,
smollm2:135m,VEC,T512_O128,2,0.605,0.33,0.351385015,0.525619835,0.287,,,,VEC,T512_O128,3,0.243,,BM25,T512_O128,3,0.329261,,,,,,,,,,
qwen2.5:7b,VEC,T512_O128,2,0.605,0.462,0.47543368,0.761983471,0.144,,,,VEC,T256_O64,3,0.134,,BM25,T256_O64,3,0.605,,,,,,,,,,
qwen2.5:0.5b,VEC,T512_O128,2,0.605,0.452,0.469408991,0.730578512,0.163,,,,VEC,T512_O128,2,0.118,,BM25,T512_O128,2,0.327,,,,,,,,,,
smollm2:135m,VEC,W100,2,0.591,0.338,0.365344916,0.543147208,0.27,,,,VEC,W100,2,0.146,,BM25,T256_O64,2,0.611,,,,,,,,,,
qwen2.5:7b,VEC,W100,2,0.591,0.46,0.471250857,0.768189509,0.137,,,,VEC,T256_O64,2,0.133,,BM25,W100,3,0.811,,,,,,,,,,
qwen2.5:0.5b,VEC,W100,2,0.591,0.466,0.483030878,0.749576988,0.148,,,,Average,,,0.1548,,Average,,,0.5366522,,,,,,,,,,
smollm2:135m,VEC,T256_O64,2,0.564,0.328,0.349227565,0.54964539,0.254,,,,,,,,,,,,,,,,,,,,,,
qwen2.5:7b,VEC,T256_O64,2,0.564,0.439,0.452000164,0.769503546,0.13,,,,,,,,,,,,,,,,,,,,,,
qwen2.5:0.5b,VEC,T256_O64,2,0.564,0.412,0.434532725,0.696808511,0.171,,,,,,,,,,,,,,,,,,,,,,
smollm2:135m,VEC,T512_O128,1,0.493,0.34,0.361316916,0.651115619,0.172,,,,,,,,,,,,,,,,,,,,,,
qwen2.5:7b,VEC,T512_O128,1,0.493,0.401,0.412057823,0.807302231,0.095,,,,,,,,,,,,,,,,,,,,,,
qwen2.5:0.5b,VEC,T512_O128,1,0.493,0.391,0.40786568,0.740365112,0.128,,,,,,,,,,,,,,,,,,,,,,
smollm2:135m,VEC,W100,1,0.482,0.334,0.360500306,0.645228216,0.171,,,,,,,,,,,,,,,,,,,,,,
qwen2.5:7b,VEC,W100,1,0.482,0.396,0.406379377,0.804979253,0.094,,,,,,,,,,,,,,,,,,,,,,
qwen2.5:0.5b,VEC,W100,1,0.482,0.427,0.445332402,0.817427386,0.088,,,,,,,,,,,,,,,,,,,,,,
smollm2:135m,VEC,T256_O64,1,0.455,0.311,0.337593227,0.630769231,0.168,,,,model,retrieval,chunk,top_k,recall@k,accuracy,f1,accuracy_given_hit,hit_and_wrong_ratio,,model,retrieval,chunk,top_k,recall@k,accuracy,f1,accuracy_given_hit,hit_and_wrong_ratio
qwen2.5:7b,VEC,T256_O64,1,0.455,0.373,0.383353113,0.810989011,0.086,,,,smollm2:135m,VEC,W100,1,0.68,0.45,0.475248902,0.641176471,0.244,,smollm2:135m,VEC,W100,1,0.482,0.334,0.360500306,0.645228216,0.171
qwen2.5:0.5b,VEC,T256_O64,1,0.455,0.356,0.375722469,0.714285714,0.13,,,,smollm2:135m,VEC,W100,2,0.76,0.362,0.382799388,0.468421053,0.404,,smollm2:135m,VEC,W100,2,0.591,0.338,0.365344916,0.543147208,0.27
smollm2:135m,BM25,T512_O128,3,0.255,0.151,0.173515039,0.466666667,0.136,,,,smollm2:135m,VEC,W100,3,0.798,0.34,0.362281581,0.418546366,0.464,,smollm2:135m,VEC,W100,3,0.648,0.323,0.348767871,0.484567901,0.334
qwen2.5:7b,BM25,T512_O128,3,0.255,0.168,0.175223523,0.658823529,0.087,,,,qwen2.5:0.5b,VEC,W100,1,0.68,0.576,0.595266114,0.823529412,0.12,,qwen2.5:0.5b,VEC,W100,1,0.482,0.427,0.445332402,0.817427386,0.088
qwen2.5:0.5b,BM25,T512_O128,3,0.255,0.177,0.190448874,0.647058824,0.09,,,,qwen2.5:0.5b,VEC,W100,2,0.76,0.57,0.588930404,0.736842105,0.2,,qwen2.5:0.5b,VEC,W100,2,0.591,0.466,0.483030878,0.749576988,0.148
smollm2:135m,BM25,T256_O64,3,0.244,0.149,0.169334832,0.504098361,0.121,,,,qwen2.5:0.5b,VEC,W100,3,0.798,0.55,0.570745972,0.676691729,0.258,,qwen2.5:0.5b,VEC,W100,3,0.648,0.458,0.477534182,0.694444444,0.198
qwen2.5:7b,BM25,T256_O64,3,0.244,0.17,0.180090651,0.68852459,0.076,,,,qwen2.5:7b,VEC,W100,1,0.68,0.556,0.57005403,0.814705882,0.126,,qwen2.5:7b,VEC,W100,1,0.482,0.396,0.406379377,0.804979253,0.094
qwen2.5:0.5b,BM25,T256_O64,3,0.244,0.171,0.186590106,0.647540984,0.086,,,,qwen2.5:7b,VEC,W100,2,0.76,0.584,0.595497348,0.768421053,0.176,,qwen2.5:7b,VEC,W100,2,0.591,0.46,0.471250857,0.768189509,0.137
smollm2:135m,BM25,T512_O128,2,0.229,0.166,0.188127742,0.563318777,0.1,,,,qwen2.5:7b,VEC,W100,3,0.798,0.592,0.604123912,0.741854637,0.206,,qwen2.5:7b,VEC,W100,3,0.648,0.492,0.505783638,0.75154321,0.161
qwen2.5:7b,BM25,T512_O128,2,0.229,0.165,0.172851777,0.720524017,0.064,,,,,,,,,,,,,,,,,,,,,,
qwen2.5:0.5b,BM25,T512_O128,2,0.229,0.172,0.184625628,0.698689956,0.069,,,,,,,,,,,,,,,,,,,,,,
smollm2:135m,BM25,T256_O64,2,0.22,0.159,0.177259103,0.586363636,0.091,,,,,,,,,,,,,,,,,,,,,,
qwen2.5:7b,BM25,T256_O64,2,0.22,0.164,0.173543016,0.731818182,0.059,,,,,,,,,,,,,,,,,,,,,,
qwen2.5:0.5b,BM25,T256_O64,2,0.22,0.171,0.184369717,0.727272727,0.06,,,,,,,,,,,,,,,,,,,,,,
smollm2:135m,BM25,W100,3,0.219,0.157,0.176025704,0.561643836,0.096,,,,,,,,,,,,,,,,,,,,,,
qwen2.5:7b,BM25,W100,3,0.219,0.166,0.174337,0.735159817,0.058,,,,,,,,,,,,,,,,,,,,,,
qwen2.5:0.5b,BM25,W100,3,0.219,0.172,0.184572902,0.730593607,0.059,,,,,,,,,,,,,,,,,,,,,,
smollm2:135m,BM25,W100,2,0.206,0.148,0.173405605,0.587378641,0.085,,,,,,,,,,,,,,,,,,,,,,
qwen2.5:7b,BM25,W100,2,0.206,0.156,0.163980063,0.747572816,0.052,,,,,,,,,,,,,,,,,,,,,,
qwen2.5:0.5b,BM25,W100,2,0.206,0.166,0.176839364,0.733009709,0.055,,,,,,,,,,,,,,,,,,,,,,
smollm2:135m,BM25,T512_O128,1,0.191,0.151,0.176735703,0.664921466,0.064,,,,,,,,,,,,,,,,,,,,,,
qwen2.5:7b,BM25,T512_O128,1,0.191,0.143,0.149466276,0.732984293,0.051,,,,,,,,,,,,,,,,,,,,,,
qwen2.5:0.5b,BM25,T512_O128,1,0.191,0.151,0.163003032,0.748691099,0.048,,,,,,,,,,,,,,,,,,,,,,
smollm2:135m,BM25,T256_O64,1,0.181,0.136,0.157638712,0.602209945,0.072,,,,,,,,,,,,,,,,,,,,,,
qwen2.5:7b,BM25,T256_O64,1,0.181,0.13,0.135541522,0.718232044,0.051,,,,,,,,,,,,,,,,,,,,,,
qwen2.5:0.5b,BM25,T256_O64,1,0.181,0.136,0.147377267,0.690607735,0.056,,,,,,,,,,,,,,,,,,,,,,
smollm2:135m,BM25,W100,1,0.166,0.132,0.155890609,0.662650602,0.056,,,,,,,,,,,,,,,,,,,,,,
qwen2.5:7b,BM25,W100,1,0.166,0.132,0.137345497,0.795180723,0.034,,,,,,,,,,,,,,,,,,,,,,
qwen2.5:0.5b,BM25,W100,1,0.166,0.167,0.179158586,0.831325301,0.028,,,,,,,,,,,,,,,,,,,,,,
